(2045, ((('cue', (0.15629028943752063, 1.5133860269969597)), ('red', (0.7100226073337639, 1.4155459688536118)), ('blue', (0.48014680012785127, 0.7034229265211279)), ('yellow', (0.322401522946168, 1.2592854146315007))), 'pot yellow ball into middle_left pocket with a bank shot')), Success Rate: 4 / 10 = 0.4
(4561, ((('cue', (0.08806946968130668, 0.7742516948274708)), ('red', (0.7104925004332882, 1.751446411729941)), ('blue', (0.9151930608070686, 1.5330066278990906)), ('yellow', (0.7795912242586257, 0.11967788325752879))), 'pot yellow ball into bottom_right pocket indirectly')), Success Rate: 6 / 10 = 0.6
(2482, ((('cue', (0.7679724003887785, 0.13367635524402405)), ('blue', (0.41392278680730243, 1.4959304434016103)), ('red', (0.5351498341412778, 1.6847098363100546)), ('yellow', (0.36724584218594136, 0.5121391932646404))), 'pot red ball into middle_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(1641, ((('cue', (0.15826492549049742, 0.7429434174028471)), ('yellow', (0.41033467767783516, 0.6774093421250035)), ('red', (0.39594429790046126, 1.6018979351451914)), ('blue', (0.5006815096414978, 0.43503953179249377))), 'pot blue ball into top_right pocket with a bank shot')), Success Rate: 2 / 10 = 0.2
(9626, ((('cue', (0.9165333356888595, 0.23549877958680945)), ('blue', (0.5526920568061783, 1.5098108944055262)), ('red', (0.35080202308120956, 0.2941210968968636)), ('yellow', (0.3037882731901945, 1.4803768642473216))), 'pot yellow ball into bottom_right pocket indirectly')), Success Rate: 1 / 10 = 0.1
(3083, ((('cue', (0.33202528164788647, 1.7559799305732313)), ('blue', (0.19081579707713264, 0.13943107963891427)), ('yellow', (0.43601089535935333, 0.18070772657520817)), ('red', (0.044290978076061534, 1.0764485601717084))), 'pot yellow ball into bottom_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(12298, ((('cue', (0.34419311153275045, 1.6627447880202528)), ('yellow', (0.7057917105949475, 1.4351923778793643)), ('blue', (0.850774753676655, 1.7458970594958643)), ('red', (0.3213544714553821, 0.05030738864848044))), 'pot yellow ball into top_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
(4532, ((('cue', (0.3292264210747804, 0.268088860407255)), ('yellow', (0.12848752659196255, 1.7926185778755688)), ('blue', (0.10487893519767655, 1.857394609936929)), ('red', (0.810038702224671, 0.050382614034359736))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(5192, ((('cue', (0.5674016152299897, 1.6289522961357132)), ('blue', (0.901234104267503, 1.6475596839699744)), ('red', (0.4568669110492958, 0.6984754555645021)), ('yellow', (0.7455581646217196, 0.9020923476653976))), 'pot blue ball into bottom_right pocket indirectly')), Success Rate: 0 / 10 = 0.0
(157, ((('cue', (0.7329474376786751, 0.4461869616503932)), ('yellow', (0.6961827304541364, 1.1789734523556674)), ('blue', (0.9112143485554662, 1.5359545732629698)), ('red', (0.7260585710084579, 0.5727067520224851))), 'pot red ball into top_right pocket indirectly')), Success Rate: 0 / 10 = 0.0
(8618, ((('cue', (0.676225740983277, 1.2317446196797768)), ('blue', (0.3602965118982835, 1.0495890105389536)), ('yellow', (0.11213493021173868, 0.13381926797044785)), ('red', (0.9296559744987682, 1.452601310312582))), 'pot blue ball into bottom_right pocket indirectly')), Success Rate: 7 / 10 = 0.7
(13026, ((('cue', (0.4091121857868274, 1.611584032455031)), ('yellow', (0.48541994314351145, 1.112475292382304)), ('blue', (0.7309840232634928, 1.0915559469805105)), ('red', (0.4159093256494012, 0.5998682948810153))), 'pot blue ball into bottom_right pocket with a bank shot')), Success Rate: 4 / 10 = 0.4
(8878, ((('cue', (0.5000227631785262, 1.5526290828573437)), ('red', (0.4502306440230842, 0.1540176154035619)), ('blue', (0.40739891101710035, 1.631923299169769)), ('yellow', (0.9132953675983185, 1.554532361600942))), 'pot red ball into bottom_left pocket with a bank shot')), Success Rate: 2 / 10 = 0.2
(7266, ((('cue', (0.39963654186616226, 1.0066850554012432)), ('yellow', (0.41401436137940784, 0.56995587683545)), ('blue', (0.21716679953708024, 0.6301804226447221)), ('red', (0.6775275338328135, 0.5485432188629661))), 'pot red ball into top_right pocket indirectly')), Success Rate: 1 / 10 = 0.1
(11589, ((('cue', (0.8810309412501165, 1.3368350057060128)), ('yellow', (0.6253451423762837, 0.296287798504011)), ('red', (0.19244933824907376, 1.7873022029718875)), ('blue', (0.6340533336874579, 0.20847505752930504))), 'pot red ball into top_right pocket with a bank shot')), Success Rate: 2 / 10 = 0.2
(10905, ((('cue', (0.24211318994321965, 0.7781059228312392)), ('red', (0.6989750508277354, 1.551212241858169)), ('yellow', (0.3632894387412021, 1.803804911114154)), ('blue', (0.8747659024584693, 1.8908960562485468))), 'pot red ball into top_right pocket indirectly')), Success Rate: 0 / 10 = 0.0
(1481, ((('cue', (0.8069733050727907, 0.2961761228132016)), ('blue', (0.3284104193916907, 0.8431174132159788)), ('red', (0.864793975309945, 0.4594792443167468)), ('yellow', (0.2546114340011952, 0.41709688436767156))), 'pot yellow ball into bottom_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(8999, ((('cue', (0.19536429144463277, 1.4304364897333313)), ('blue', (0.8372159504238414, 1.5762826245239205)), ('red', (0.1120496473621724, 0.2110965992132333)), ('yellow', (0.21048863055671654, 0.32803244620267946))), 'pot yellow ball into bottom_right pocket indirectly')), Success Rate: 0 / 10 = 0.0
(4275, ((('cue', (0.9338622752179846, 0.9715222012038283)), ('red', (0.5968230549381529, 0.4412400210319781)), ('yellow', (0.9292001204018622, 1.3048728128736473)), ('blue', (0.41733256866288915, 0.28787659574771507))), 'pot yellow ball into top_right pocket indirectly')), Success Rate: 8 / 10 = 0.8
(3338, ((('cue', (0.19911390667839876, 0.3320910187270394)), ('red', (0.24870154399941258, 1.06007728106595)), ('yellow', (0.7397324074584172, 1.0416690527930537)), ('blue', (0.44441090458445853, 0.34196165619965924))), 'pot blue ball into bottom_left pocket indirectly')), Success Rate: 6 / 10 = 0.6
(12330, ((('cue', (0.6478310192537682, 0.6538428723544966)), ('yellow', (0.16941976456298938, 0.11307428624334527)), ('blue', (0.2629479896530518, 1.2871738373385666)), ('red', (0.07265650200156126, 1.1801995871782398))), 'pot red ball into top_left pocket indirectly')), Success Rate: 7 / 10 = 0.7
(1310, ((('cue', (0.9103449174218502, 1.4144289042111522)), ('red', (0.06393053625719161, 0.29461542177289624)), ('blue', (0.6245338320876209, 0.3880084806919063)), ('yellow', (0.530560671783115, 0.04668402551288901))), 'pot red ball into bottom_left pocket indirectly')), Success Rate: 5 / 10 = 0.5
(12604, ((('cue', (0.8992316048788647, 1.1593728054456676)), ('yellow', (0.09887911089341052, 1.766055842141734)), ('blue', (0.33683623816834485, 1.722129059053261)), ('red', (0.7046523203995351, 0.7929502625557115))), 'pot yellow ball into top_left pocket indirectly')), Success Rate: 8 / 10 = 0.8
(10251, ((('cue', (0.8994245815566901, 0.4617496101185097)), ('red', (0.9136260973776102, 1.1956778967323185)), ('blue', (0.16392870091954778, 1.2065214318437878)), ('yellow', (0.46475201433069024, 0.827249109570257))), 'pot yellow ball into middle_right pocket indirectly')), Success Rate: 7 / 10 = 0.7
(6211, ((('cue', (0.7148857215534331, 1.8230388361198573)), ('blue', (0.6314050310957274, 0.6388722885416671)), ('red', (0.06261309884771873, 1.5400318661713204)), ('yellow', (0.7622478954486913, 1.0332089458261478))), 'pot red ball into middle_right pocket indirectly')), Success Rate: 7 / 10 = 0.7
(5241, ((('cue', (0.34398003893428086, 0.21054092433590688)), ('yellow', (0.4980989514409174, 0.7840409886821472)), ('red', (0.11398424643022961, 0.9116919614633797)), ('blue', (0.28699588811298093, 1.8849909805673906))), 'pot red ball into top_right pocket directly')), Success Rate: 1 / 10 = 0.1
(1142, ((('cue', (0.6751806237030079, 0.2833672568166947)), ('red', (0.5028643041157094, 0.9948221257890693)), ('yellow', (0.3578918327184982, 1.5881281445824273)), ('blue', (0.06668013153517814, 1.4232556809517571))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
(3846, ((('cue', (0.10195813726111388, 0.9845102046106992)), ('yellow', (0.1429564354003811, 1.1966928463616753)), ('red', (0.7747223861638705, 1.0563702872604328)), ('blue', (0.4348556285062657, 0.8359957612130413))), 'pot yellow ball into middle_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(3556, ((('cue', (0.8466487447023882, 1.596121330303709)), ('red', (0.5292623831033717, 0.7112912875581036)), ('yellow', (0.7540128025034123, 1.1492062079501353)), ('blue', (0.06817298365583474, 1.7007089840896665))), 'pot red ball into middle_right pocket with a bank shot')), Success Rate: 1 / 10 = 0.1
(7346, ((('cue', (0.18418854472666688, 0.28102672149256014)), ('yellow', (0.9420379897693147, 0.48805555116437715)), ('blue', (0.7404960749662205, 0.6255501973364982)), ('red', (0.3596530317355502, 0.9342228923607023))), 'pot red ball into middle_right pocket directly')), Success Rate: 3 / 10 = 0.3
(7064, ((('cue', (0.130563872029759, 1.4900070794755178)), ('red', (0.7484580769581872, 0.9868890346306574)), ('yellow', (0.3417279951217823, 0.6642517276580442)), ('blue', (0.12164533536742911, 0.10137077289336557))), 'pot red ball into middle_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(1783, ((('cue', (0.2857105630482559, 1.744347718772713)), ('yellow', (0.5911744711410831, 1.6026102122352153)), ('red', (0.5654159214138221, 1.9006967463139042)), ('blue', (0.7743011223068672, 0.5926787889603742))), 'pot yellow ball into top_left pocket with a bank shot')), Success Rate: 4 / 10 = 0.4
(60, ((('cue', (0.509202164376657, 0.98206616810824)), ('red', (0.6883004562079341, 1.0773432541784707)), ('blue', (0.6306153239871073, 1.1903012246934017)), ('yellow', (0.18065936873282246, 0.7439448830484642))), 'pot red ball into bottom_right pocket indirectly')), Success Rate: 0 / 10 = 0.0
(11571, ((('cue', (0.48642757384036484, 1.0205840516374074)), ('blue', (0.5651753629334496, 1.4271807013286497)), ('red', (0.7127463090963657, 0.4598952376423455)), ('yellow', (0.5855100226284282, 1.633679911897244))), 'pot blue ball into top_left pocket directly')), Success Rate: 4 / 10 = 0.4
(7824, ((('cue', (0.07002241208808022, 0.1571508154012266)), ('red', (0.6489794243768661, 1.5800851489427459)), ('yellow', (0.19325281225166602, 0.8070527098366997)), ('blue', (0.7024677416431464, 0.8994605422632032))), 'pot yellow ball into top_left pocket indirectly')), Success Rate: 6 / 10 = 0.6
(4856, ((('cue', (0.6372318041539454, 0.31150379219746627)), ('red', (0.6635331286558874, 0.4972227907044364)), ('yellow', (0.28835842418709023, 0.5902543246720091)), ('blue', (0.09564894710217975, 1.1566610318742414))), 'pot red ball into bottom_right pocket indirectly')), Success Rate: 1 / 10 = 0.1
(146, ((('cue', (0.6030278406823685, 1.7101980749814407)), ('red', (0.16955807256963282, 0.48693537571029244)), ('blue', (0.21658599709738563, 1.5982648944200226)), ('yellow', (0.41644179941132964, 0.36408643049635225))), 'pot blue ball into bottom_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(193, ((('cue', (0.8124735897214812, 0.9826081320939108)), ('yellow', (0.0730634997529616, 0.4557400163020179)), ('blue', (0.34216803904891846, 1.4737877224816502)), ('red', (0.678553839452453, 0.5296432483973653))), 'pot yellow ball into bottom_left pocket directly')), Success Rate: 2 / 10 = 0.2
(10268, ((('cue', (0.13917636863167487, 1.02051538128468)), ('yellow', (0.607451715699315, 0.9554668041841847)), ('blue', (0.6592201138250561, 1.187812405786653)), ('red', (0.8377825614239661, 0.2549056526659268))), 'pot yellow ball into top_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(12067, ((('cue', (0.6524842521079866, 1.9239242554451292)), ('yellow', (0.9402059244059714, 1.6537819390934112)), ('blue', (0.24086285172400862, 0.9007741331071475)), ('red', (0.695281345597485, 1.4657609668379181))), 'pot red ball into bottom_right pocket directly')), Success Rate: 6 / 10 = 0.6
(7528, ((('cue', (0.8334758601074139, 1.4346058695595911)), ('red', (0.7027203983383604, 0.7051628157299862)), ('yellow', (0.8695166026399177, 0.12454360241039253)), ('blue', (0.5002932518602071, 1.7291233555987753))), 'pot yellow ball into top_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(124, ((('cue', (0.045934449375264017, 0.6167662857198907)), ('red', (0.3912421839845598, 0.6635935412743235)), ('blue', (0.9455022260429122, 1.395253608643442)), ('yellow', (0.3282628788028066, 0.6976438027771248))), 'pot blue ball into middle_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(4482, ((('cue', (0.8413155155678804, 1.7008895926785506)), ('yellow', (0.548525260406356, 1.343490347597593)), ('blue', (0.46605465647743904, 0.360884011930664)), ('red', (0.23421623997377866, 0.5268668873149874))), 'pot yellow ball into middle_right pocket indirectly')), Success Rate: 7 / 10 = 0.7
(11663, ((('cue', (0.4514762306557426, 1.2042547861434525)), ('blue', (0.7403444995995435, 1.4639556165363805)), ('yellow', (0.8853966114918091, 0.9753418587261317)), ('red', (0.16289742926276157, 0.37751857108268483))), 'pot blue ball into top_right pocket with a bank shot')), Success Rate: 3 / 10 = 0.3
(2262, ((('cue', (0.05285611173809084, 1.9046146656330167)), ('blue', (0.3834760040673445, 0.4552132054645306)), ('yellow', (0.27101104349484506, 0.650759917406288)), ('red', (0.10172390328395763, 1.315560124329212))), 'pot red ball into top_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(11198, ((('cue', (0.32961946152497024, 1.2399844546083025)), ('blue', (0.28816566618031214, 0.18587496125929842)), ('yellow', (0.8628002455090925, 0.4520401586747238)), ('red', (0.7023594163115807, 1.5077712841602517))), 'pot blue ball into bottom_left pocket with a bank shot')), Success Rate: 6 / 10 = 0.6
(2526, ((('cue', (0.16044086409567532, 1.6731185555177348)), ('red', (0.09075144107167775, 1.8607277460352896)), ('blue', (0.08857449452488195, 0.354969068483013)), ('yellow', (0.7767924554248309, 1.2693485582890391))), 'pot yellow ball into top_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(4591, ((('cue', (0.08652604378324094, 0.7625422736373078)), ('blue', (0.41722815479206876, 0.8760679541094344)), ('yellow', (0.5422723481399333, 0.9076986535846501)), ('red', (0.2538965153901649, 0.26001850160173784))), 'pot yellow ball into middle_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(9274, ((('cue', (0.8734860977544865, 0.42086414066841105)), ('yellow', (0.2465914529462897, 0.8779256036863828)), ('red', (0.6199751593613073, 1.9162097940519534)), ('blue', (0.3147073233953148, 0.43134051709524845))), 'pot red ball into middle_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(851, ((('cue', (0.6878756966743089, 0.5156253792887696)), ('yellow', (0.36712390438791886, 1.6485457039511027)), ('blue', (0.7167277173134905, 1.5045796757142533)), ('red', (0.8444515012517266, 0.22721177293362968))), 'pot red ball into bottom_right pocket directly')), Success Rate: 10 / 10 = 1.0
(11190, ((('cue', (0.9087353348591115, 1.8995295195163273)), ('red', (0.12035362208120738, 1.0870150030500605)), ('blue', (0.14476111988843038, 0.6039008785944631)), ('yellow', (0.17718694753570777, 1.7486511888627883))), 'pot red ball into bottom_left pocket directly')), Success Rate: 2 / 10 = 0.2
(11819, ((('cue', (0.25865463410980494, 1.6284667243229582)), ('red', (0.16121195616149886, 0.9181953889981975)), ('yellow', (0.22930967235950672, 1.3473801362776163)), ('blue', (0.8844991544762443, 1.8775218192490297))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(8278, ((('cue', (0.5885077595476735, 0.6004164563267071)), ('yellow', (0.5799873284140681, 0.48767727886245915)), ('red', (0.21064820706427226, 0.053350936123007106)), ('blue', (0.4860225979541919, 0.4286748627497172))), 'pot blue ball into top_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(860, ((('cue', (0.9154716444431675, 0.822382085359867)), ('red', (0.08779921611777242, 1.5940076635140066)), ('yellow', (0.2382150448057566, 0.8426272852692978)), ('blue', (0.4728281596300036, 0.058437836968534974))), 'pot yellow ball into top_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(12813, ((('cue', (0.9448746435361499, 0.8244978082831703)), ('blue', (0.3783756345388952, 1.418119330731123)), ('red', (0.804897677709279, 0.4840873439405866)), ('yellow', (0.6183555755534194, 1.350213980992558))), 'pot blue ball into middle_left pocket with a bank shot')), Success Rate: 3 / 10 = 0.3
(6209, ((('cue', (0.5812651995694644, 1.1707492745199084)), ('blue', (0.5576086459141577, 0.36293542331139905)), ('yellow', (0.1693926825482084, 0.6091535304949294)), ('red', (0.8960080880203807, 0.9045101940154991))), 'pot red ball into bottom_right pocket directly')), Success Rate: 2 / 10 = 0.2
(1020, ((('cue', (0.6506764406617473, 1.4028951301938706)), ('yellow', (0.7405148089378037, 1.163449825477782)), ('blue', (0.5730102592330659, 0.6580342730250255)), ('red', (0.5363102605690303, 0.4690659894232452))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success Rate: 3 / 10 = 0.3
(9866, ((('cue', (0.7177800174647677, 0.5625373744020005)), ('blue', (0.8074722439805028, 0.999208238745968)), ('yellow', (0.5658128385852732, 1.7148384411546767)), ('red', (0.6390691400166427, 0.5904881197561115))), 'pot yellow ball into top_right pocket directly')), Success Rate: 2 / 10 = 0.2
(8400, ((('cue', (0.2791681755241865, 1.687749574526404)), ('yellow', (0.28630186304606253, 0.28404886670592283)), ('red', (0.2858447042228488, 1.5604788008713273)), ('blue', (0.6314878408437837, 0.6946511420054383))), 'pot yellow ball into top_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(8552, ((('cue', (0.37954859044509603, 0.8209385428489114)), ('red', (0.37103303874153337, 1.765949329146972)), ('blue', (0.9122201057126205, 1.8497801182110118)), ('yellow', (0.467920919366984, 1.4958774252277056))), 'pot blue ball into bottom_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(9132, ((('cue', (0.10087752326786809, 1.8873829189585922)), ('red', (0.15440217798287587, 0.1371143530935478)), ('blue', (0.4589465798817963, 1.5476884509238054)), ('yellow', (0.45163119390840356, 1.7220396917335214))), 'pot yellow ball into middle_left pocket with a bank shot')), Success Rate: 2 / 10 = 0.2
(5329, ((('cue', (0.4890125604312606, 1.2498993841088708)), ('yellow', (0.06492760632663552, 0.11014732218120328)), ('red', (0.7235695829528656, 0.6370486702112871)), ('blue', (0.09908502459765983, 1.835296754909986))), 'pot red ball into top_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
(3536, ((('cue', (0.5869323085165946, 1.6572390526896634)), ('yellow', (0.9148260570340885, 1.1004118593654109)), ('red', (0.6064839319620063, 0.45918059943312073)), ('blue', (0.273207778772034, 1.7188080191320239))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success Rate: 6 / 10 = 0.6
(1527, ((('cue', (0.6375521573321543, 1.834501749714042)), ('blue', (0.7680510139086086, 1.2064415944368645)), ('red', (0.4930274040109799, 1.1620326719685798)), ('yellow', (0.8784766228963226, 1.216190977157065))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success Rate: 8 / 10 = 0.8
(3200, ((('cue', (0.07175961493975329, 1.8455648876517783)), ('blue', (0.24043869828461487, 1.2680164355955563)), ('yellow', (0.24388528607858262, 1.697505532284885)), ('red', (0.349782430493364, 1.6279674407876694))), 'pot yellow ball into top_right pocket directly')), Success Rate: 0 / 10 = 0.0
(5764, ((('cue', (0.7971255123700693, 1.5822646279947021)), ('blue', (0.3242468910216739, 1.2150255582341287)), ('yellow', (0.9184235737663687, 0.22703910630662566)), ('red', (0.5701678470888204, 1.600618277051625))), 'pot red ball into middle_left pocket with a bank shot')), Success Rate: 5 / 10 = 0.5
(7488, ((('cue', (0.13659745916607557, 1.2031563680093156)), ('yellow', (0.4495480264857069, 1.1834887256825202)), ('red', (0.3476757479000141, 0.2116724925080301)), ('blue', (0.6523192798065202, 1.0948672305330691))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
(7281, ((('cue', (0.5352450590700514, 0.7862780151337609)), ('yellow', (0.23650855177922503, 1.8114407669258241)), ('red', (0.9196441206160396, 1.1653509327553302)), ('blue', (0.6261775168490854, 0.23306061311576778))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
(11160, ((('cue', (0.06484847506601145, 1.563172174850267)), ('blue', (0.3363230011342826, 0.33926166957221426)), ('red', (0.6606876903032737, 0.2151512792946597)), ('yellow', (0.2703775659506713, 0.9444358591342104))), 'pot blue ball into bottom_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
(8182, ((('cue', (0.4134040078723439, 0.3367470158676654)), ('yellow', (0.8139181485632645, 0.5295113668015989)), ('red', (0.8667104991067205, 0.13100950294286184)), ('blue', (0.045940963102637775, 1.9173798309378571))), 'pot red ball into bottom_right pocket with a bank shot')), Success Rate: 10 / 10 = 1.0
(25, ((('cue', (0.6246878909020753, 1.7050899011364873)), ('yellow', (0.10586298585711301, 0.27676843156301945)), ('blue', (0.5628419575905393, 0.09872714725923964)), ('red', (0.29372492688427165, 1.634165949025866))), 'pot yellow ball into middle_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
(779, ((('cue', (0.8542719667098638, 1.2531265065143942)), ('blue', (0.14677727370900034, 1.7851859884253725)), ('red', (0.42192308157576, 0.969645146248371)), ('yellow', (0.4029109744964985, 0.13473918838802082))), 'pot blue ball into bottom_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(1683, ((('cue', (0.587347633830289, 0.9201998192137585)), ('red', (0.5188747708052602, 1.8913430131306885)), ('blue', (0.4662451538000928, 0.4861806096554765)), ('yellow', (0.6056095652543222, 1.7204748352642745))), 'pot blue ball into bottom_left pocket indirectly')), Success Rate: 3 / 10 = 0.3
(3979, ((('cue', (0.7726771933304194, 1.4313849973572301)), ('yellow', (0.7053758819967304, 0.15071656719467036)), ('blue', (0.3875332800383843, 0.5590812149298781)), ('red', (0.9027205334887209, 0.5159500715100552))), 'pot blue ball into middle_left pocket with a bank shot')), Success Rate: 1 / 10 = 0.1
(9431, ((('cue', (0.7624304208344557, 1.2763706908331711)), ('yellow', (0.2224355449314996, 0.04726313077088184)), ('red', (0.22384438958149808, 1.0656198869798914)), ('blue', (0.7439679309394499, 1.6491055195348683))), 'pot blue ball into top_left pocket with a bank shot')), Success Rate: 6 / 10 = 0.6
(7639, ((('cue', (0.19406371182640522, 0.9079490151625045)), ('blue', (0.7402278539052011, 0.7844801256238932)), ('red', (0.6102443370245512, 0.8140063522449088)), ('yellow', (0.2621833151080981, 0.08117300440888557))), 'pot red ball into middle_right pocket with a bank shot')), Success Rate: 10 / 10 = 1.0
(7371, ((('cue', (0.7099236692855107, 0.14899550866772238)), ('red', (0.11251227608940019, 0.43494522370281785)), ('blue', (0.46832417418845296, 0.9149386667821332)), ('yellow', (0.51425982566923, 0.3830675588879431))), 'pot red ball into middle_right pocket with a bank shot')), Success Rate: 1 / 10 = 0.1
(2024, ((('cue', (0.5182431334162722, 1.7561588208373087)), ('red', (0.7170111203576731, 1.7103530610080082)), ('yellow', (0.8453427666256305, 1.7722086273405409)), ('blue', (0.7066981216916067, 1.571107282270197))), 'pot yellow ball into middle_left pocket indirectly')), Success Rate: 5 / 10 = 0.5
(10513, ((('cue', (0.43142138069894154, 1.876107899522145)), ('yellow', (0.8708452414130096, 0.7511324826134774)), ('red', (0.22114800062447687, 1.5377993822288436)), ('blue', (0.5522578018462808, 1.382931674271222))), 'pot blue ball into bottom_right pocket indirectly')), Success Rate: 4 / 10 = 0.4
(10871, ((('cue', (0.4903626018604528, 0.9425182058514294)), ('blue', (0.9290949897825908, 1.505316998928852)), ('red', (0.5334713851756618, 1.1894710862882265)), ('yellow', (0.24398328215731163, 1.2309264197671594))), 'pot yellow ball into middle_right pocket indirectly')), Success Rate: 2 / 10 = 0.2
(5839, ((('cue', (0.04668946958719996, 1.1296485687507387)), ('blue', (0.6084247535411085, 1.3236247110500763)), ('red', (0.19919622969318887, 0.9357289913257614)), ('yellow', (0.5829908754360905, 0.6663802916626964))), 'pot red ball into bottom_right pocket indirectly')), Success Rate: 4 / 10 = 0.4
(12983, ((('cue', (0.34532511244666386, 0.20783691752373892)), ('yellow', (0.7061340624418951, 1.3274049297943116)), ('blue', (0.7356848686632994, 1.5377826487766997)), ('red', (0.06761337948029066, 0.2269448245772181))), 'pot yellow ball into top_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
